"title","url","description","stars","language"
"microsoft/agent-lightning","https://github.com/microsoft/agent-lightning","The absolute trainer to light up AI agents.","6,961","Python"
"lfnovo/open-notebook","https://github.com/lfnovo/open-notebook","An Open Source implementation of Notebook LM with more flexibility and features","9,544","TypeScript"
"karpathy/nanoGPT","https://github.com/karpathy/nanoGPT","The simplest, fastest repository for training/finetuning medium-sized GPTs.","48,959","Python"
"DrewThomasson/ebook2audiobook","https://github.com/DrewThomasson/ebook2audiobook","Generate audiobooks from e-books, voice cloning & 1107+ languages!","14,795","Python"
"jingyaogong/minimind","https://github.com/jingyaogong/minimind","🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!","32,501","Python"
"evershopcommerce/evershop","https://github.com/evershopcommerce/evershop","🛍️ Typescript E-commerce Platform","8,659","TypeScript"
"cjpais/Handy","https://github.com/cjpais/Handy","A free, open source, and extensible speech-to-text application that works completely offline.","5,762","TypeScript"
"Stremio/stremio-web","https://github.com/Stremio/stremio-web","Stremio - Freedom to Stream","8,618","JavaScript"
"minio/minio","https://github.com/minio/minio","MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.","57,845","Go"
"coinbase/x402","https://github.com/coinbase/x402","A payments protocol for the internet. Built on HTTP.","3,737","TypeScript"
"QwenLM/Qwen3-VL","https://github.com/QwenLM/Qwen3-VL","Qwen3-VL is the multimodal large language model series developed by Qwen team, Alibaba Cloud.","15,972","Jupyter Notebook"
"yeongpin/cursor-free-vip","https://github.com/yeongpin/cursor-free-vip","[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.","40,150","Python"
"supermemoryai/supermemory","https://github.com/supermemoryai/supermemory","Memory engine and app that is extremely fast, scalable. The Memory API for the AI era.","13,251","TypeScript"
